#I      #x

0.32     0.0
0.32     1.0
0.32     2.0
0.32     3.0
0.32     4.0
0.34     5.0
0.40     6.0
0.52     7.0
0.66     8.0
0.82     9.0
1.00    10.0
1.20    11.0
1.20    12.0
1.40    13.0
1.40    14.0
1.40    15.0
1.40    16.0
1.60    17.0
1.80    18.0
2.20    19.0
2.80    20.0
3.20    20.5
3.40    21.0
3.80    21.5
4.00    22.0
4.00    22.5
4.20    23.0

4.20    24.0
4.00    24.5
3.80    25.0
3.60    25.5
3.20    26.0
3.00    26.5
2.80    27.0
2.40    27.5
2.00    28.0
2.00    28.5
1.80    29.0
1.60    29.5
1.40    30.0
1.20    31.0
1.20    32.0
1.40    33.0
1.40    34.0
1.60    35.0
1.60    36.0
1.60    37.0
1.40    38.0
1.40    39.0
1.20    40.0
1.00    41.0
1.00    42.0
0.74    43.0
0.68    44.0
0.66    45.0
0.70    46.0
0.76    47.0
0.82    48.0
0.86    49.0
0.86    50.0
