#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s

8.0	    10.0
8.3	    10.0
8.8	    12.0
9.2 	10.0
9.6	    12.0
10.0	20.0
10.4	28.0
10.8	38.0
11.2	45.0
11.6	53.0
12.0	59.0
12.4	56.0
12.8	65.0
13.2	68.0
13.6	71.0
14.0	74.0
14.4	78.0
14.8	80.0
15.2	85.0
15.6	83.0
16.0	74.0
16.4	79.0
16.7	84.0
17.2	92.0
17.6	79.0
18.0	79.0
18.4	93.0
18.7	87.0
19.2	85.0
19.6	89.0
20.0	89.0
20.4	90.0
20.7	94.0
21.2	95.0
21.6	93.0
22.0	102.0
22.4	96.0
22.7	98.0
23.2	96.0
23.6	99.0
24.0	95.0
24.4	97.0
24.8	96.0
25.2	100.0
25.6	101.0
26.0	89.0
26.4	87.0
26.8	91.0
27.2	83.0
27.6	90.0
28.0	90.0
28.4	81.0
28.8	82.0
29.2	75.0
29.6	79.0
30.0	77.0
30.4	78.0
30.8	70.0
31.2	75.0
31.6	76.0
32.0	76.0
32.4	70.0
32.8	70.0
33.2	63.0
33.5	64.0
34.0	67.0
34.4	63.0
34.8	65.0
35.2	58.0
35.5	52.0
36.0	52.0
36.4	54.0
36.8	58.0
37.2	57.0
37.5	50.0
38.0	52.0
38.4	52.0
38.8	46.0
39.2	53.0
39.5	112.0
40.0	607.0
40.4	641.0
40.8	101.0
41.2	83.0
41.5	63.0
42.0	62.0
42.4	64.0
42.8	58.0
43.2	64.0
43.5	72.0
44.0	146.0
44.4	1920.0
44.8	2270.0
45.2	1290.0
45.5	86.0
46.0	61.0
46.4	44.0
46.8	43.0
47.2	37.0
47.5	41.0
48.0	39.0
48.4	35.0
48.8	36.0
49.2	28.0
49.6	28.0
50.0	29.0
50.4	24.0
50.8	22.0
51.2	25.0
51.6	27.0
52.0	26.0
