#vfluss_l/min    #f_Hz

#d=7

#a=15
3           220
4           317
5           415
6           580
7           708

#a=30

3            476
4            708
5           1007
6           1379
7           1660

#a=60

3           922
4          1465
5          2039
6          2625    
7          3284

#d=16

#a=15

3           85
4          122
5          171
6          220
7          269

#a=30

3           122
4           195
5           269
6           342
7           439

#a=60

3          195
4          317
5          439
6          604
7          787
