#t_us   #f_Hz

#d=10mm

#v=3l/min

13.5      0
14.0    171
14.5    183
15.0    208
15.5    220
16.0    195
16.5    183
17.0    159
17.5    134
18.0    122
18.5      0

#v=6l/min

12.5      0
13.0    342
13.5    427
14.0    513
14.5    574
15.0    598
15.5    610
16.0    574
16.5    513
17.0    403
17.5    330
18.0    293
18.5    281
19.0    350
19.5    391

#d=7mm

#v=3l/min

13.0       0
13.5    -452
14.0    -537
14.5    -623
15.0    -696
15.5    -671
16.0    -586
16.5    -488
17.0    -415
17.5    -372
18.0    -391
18.5    -403
19.0    -409  
19.5    -470

#v=6l/min

13.0        0
13.5    -1050
14.0    -1270
14.5    -1453
15.0    -1611
15.5    -1636
16.0    -1447
16.5    -1221
17.0    -1062
17.5     -983
18.0    -1001
18.5    -1038
19.0    -1056
19.5    -1196
